year,age,networth,networth_infadj,wgt
2016,53,122905.4114994363,130661.4286425385,6235.1268616619145
2016,53,121178.69222096956,128825.74374439949,6231.891560687682
2016,53,126272.51409244645,134241.01419390962,6249.508562544151
2016,46,49582.74408117249,52711.69185006212,5703.484075066375
2016,46,49459.406989853436,52580.571500195045,5805.168620209068
2016,46,49915.75422773394,53065.71679470322,5743.226888449823
2016,46,49582.74408117249,52711.69185006212,5784.797634973703
2016,46,49743.08229988726,52882.14830488932,5809.330351758166
2016,71,228790.3043968433,243228.2490034209,6390.1215285618255
2016,71,228790.3043968433,243228.2490034209,6454.102107947324
2016,71,228790.3043968433,243228.2490034209,6290.716844543807
2016,71,228790.3043968433,243228.2490034209,6383.91164910645
2016,71,228790.3043968433,243228.2490034209,6442.887104276068
2016,56,5920.180383314543,6293.776793619516,5397.597798343282
2016,56,5920.180383314543,6293.776793619516,5422.060900956023
2016,56,6043.517474633596,6424.89714348659,5440.86865775131
2016,56,6043.517474633596,6424.89714348659,5402.0094455306125
2016,56,5920.180383314543,6293.776793619516,5445.9825284833605
2016,73,4041756.4825253664,4296813.865143991,4169.825197605305
2016,73,4041756.4825253664,4296813.865143991,4156.091519990872
2016,73,4041756.4825253664,4296813.865143991,4352.63887239988
2016,73,4042989.853438557,4298125.068642662,4185.582879816322
2016,73,4041756.4825253664,4296813.865143991,4223.610299609325
2016,62,409355.80608793686,435188.44120881613,4537.467781801077
2016,62,334243.5174746336,355336.1481397685,4397.282030271907
2016,62,406642.3900789177,432303.7935117406,4499.542522313131
2016,62,325239.90980834275,345764.3625994722,4472.653289004684
2016,62,376548.1397970688,400310.4281441747,4377.413903703924
2016,71,413179.2559188275,439253.17205469543,7824.680219221057
2016,71,413179.2559188275,439253.17205469543,7902.391779132328
2016,71,413179.2559188275,439253.17205469543,7764.044545150631
2016,71,413179.2559188275,439253.17205469543,7787.144204554924
2016,71,413179.2559188275,439253.17205469543,7879.416783641269
2016,74,8078209.470124014,8587989.555243697,3631.200056770409
2016,74,9492515.896279594,10091546.607169427,3687.4692712157266
2016,74,5930787.373167982,6305053.143708086,3720.4642255696745
2016,74,6170184.667418264,6559557.742800075,3604.0713709572365
2016,74,7045508.004509583,7490118.865806693,3737.2275014068437
2016,28,-22583.021420518602,-24008.136060661116,4720.085864862127
2016,28,-22583.021420518602,-24008.136060661116,4741.779752612393
2016,28,-22583.021420518602,-24008.136060661116,4728.628794329167
2016,28,-22583.021420518602,-24008.136060661116,4718.190518522466
2016,28,-22570.687711386698,-23995.024025674407,4738.742186332227
2016,71,192439163.4723788,204583148.28709838,38.774440162412205
2016,71,131997821.87147689,140327620.83473915,38.297005275288804
2016,71,408287706.8771139,434052938.9789673,38.99736210283597
2016,71,408781055.2423901,434577420.3784356,38.460589966092456
2016,71,408517113.8669673,434296822.8297201,39.086877705836045
2016,59,46958130.77790304,49921450.804890804,1015.5771280419885
2016,59,46207007.89177001,49122927.87420033,988.5518936615441
2016,59,46183573.84441939,49098015.00772558,982.9074547174363
2016,59,46998832.01803833,49964720.52034694,988.8818582964553
2016,59,46626354.00225479,49568737.063748375,1016.9019729500417
2016,76,61260546.56144307,65126428.816176355,377.11139266355013
2016,76,126473430.21420519,134454609.24384308,373.1113861031298
2016,76,56212482.750845544,59759804.01646691,453.7053730741368
2016,76,53465913.73167982,56839911.16934703,452.1318761824417
2016,76,42367524.23900789,45041151.38283834,459.1239148946176
2016,68,11865.028184892897,12613.777657212448,4254.550333442665
2016,68,9225.614430665164,9807.80217005708,4382.413368695495
2016,68,14208.432919954905,15105.06430468684,4313.517818745342
2016,68,22768.02705749718,24204.816585461722,4337.362979599728
2016,68,21102.976324689967,22434.691862256237,4305.245293962397
2016,70,1097083.4272829762,1166315.5120676165,4669.235836880978
2016,70,1095726.7192784667,1164873.1882190788,4505.714282414063
2016,70,1096960.0901916572,1166184.3917177494,4612.4501609709405
2016,70,1096960.0901916572,1166184.3917177494,4579.74795919824
