year,age,hours_per_week,weeks_worked,weight
2023,46,60,52,117906
2023,45,0,0,124709
2023,26,0,0,248380
2023,26,0,0,337714
2023,62,50,52,152866
2023,63,40,52,140239
2023,26,40,40,184565
2023,31,40,52,217548
2023,66,0,0,119135
2023,34,40,52,209748
2023,50,60,52,127951
2023,36,36,52,118531
2023,65,40,16,0
2023,43,30,52,0
2023,39,30,52,0
2023,44,2,52,0
2023,48,41,52,0
2023,50,45,52,0
2023,51,40,52,0
2023,21,10,52,0
2023,47,40,52,0
2023,40,40,52,0
2023,28,40,52,0
2023,31,0,0,0
2023,27,36,52,0
2023,36,40,52,0
2023,29,0,0,0
2023,50,45,52,0
2023,85,0,0,0
2023,30,0,0,0
2023,38,0,0,0
2023,55,40,52,0
2023,54,40,40,0
2023,58,40,52,0
2023,65,40,52,0
2023,58,40,52,0
2023,65,0,0,0
2023,80,0,0,0
2023,72,80,27,0
2023,59,40,52,0
2023,58,40,52,0
2023,39,40,52,0
2023,39,40,52,0
2023,70,0,0,154240
2023,22,40,26,246934
2023,69,0,0,136280
2023,69,0,0,157917
2023,47,45,52,167053
2023,49,20,52,138362
2023,74,0,0,120731
2023,73,0,0,107217
2023,40,60,52,229578
2023,44,40,52,157299
2023,49,40,52,192128
2023,71,0,0,143125
2023,74,0,0,138748
2023,59,40,52,150370
2023,59,40,52,153044
2023,66,35,52,0
2023,37,0,0,0
2023,63,40,51,0
2023,66,40,52,0
2023,36,40,52,331790
2023,36,40,52,262050
2023,66,0,0,164674
2023,65,0,0,149430
2023,42,40,52,157299
2023,32,35,44,251158
2023,73,0,0,150509
2023,62,40,52,124013
2023,61,60,52,130575
2023,43,0,0,290854
2023,73,0,0,107460
2023,41,0,0,230099
2023,67,0,0,167175
2023,69,0,0,164674
2023,57,40,52,167955
2023,60,40,52,162450
2023,21,40,52,246934
2023,80,0,0,135666
2023,66,0,0,135971
2023,70,0,0,142801
2023,69,0,0,151657
2023,71,0,0,130067
2023,70,0,0,137900
2023,66,0,0,151564
2023,73,0,0,142801
2023,38,40,52,203985
2023,33,48,30,160783
2023,52,0,0,137615
2023,49,0,0,126811
2023,59,40,52,141107
2023,50,0,0,183304
2023,58,48,52,151066
2023,76,0,0,121005
2023,85,0,0,125740
2023,78,0,0,131546
2023,34,55,52,234510
2023,40,40,26,236963
2023,85,15,36,133704
2023,32,0,0,234510
2023,35,40,52,244094
2023,85,0,0,125740
2023,57,38,52,151066
2023,72,0,0,130362
2023,45,0,0,167053
2023,32,40,52,158663
2023,35,40,52,173016
2023,54,18,46,137615
2023,49,40,52,126811
2023,20,36,10,294359
2023,35,40,52,243541
2023,27,40,44,238816
2023,36,40,52,243541
2023,36,40,52,213029
2023,43,40,52,214726
2023,61,45,52,130279
2023,70,0,0,107217
2023,73,0,0,138748
2023,71,40,52,143125
2023,41,40,52,220420
2023,27,40,52,185683
2023,67,4,36,135971
2023,64,0,0,132394
2023,76,0,0,131248
2023,37,40,52,172624
2023,38,40,52,160970
2023,61,40,52,153978
2023,60,15,52,152520
2023,73,0,0,107217
2023,67,40,52,118527
2023,69,0,0,151657
2023,68,8,26,167175
2023,71,4,26,148775
2023,20,8,33,216767
2023,34,40,52,158663
2023,37,0,0,173016
2023,33,40,52,264543
2023,34,40,52,234510
2023,60,40,52,213801
2023,31,40,52,180617
2023,26,40,52,180634
2023,76,0,0,120731
2023,74,0,0,115969
2023,73,0,0,107460
2023,53,40,52,172326
2023,37,40,52,164464
2023,38,40,52,203985
2023,35,20,15,164464
2023,67,0,0,119135
2023,31,50,52,181027
2023,24,40,52,177112
2023,49,40,52,192128
2023,49,0,0,205469
2023,22,0,0,246934
2023,48,40,52,160665
2023,62,8,52,214286
2023,74,0,0,149113
2023,70,14,52,130362
2023,37,50,52,244094
2023,24,45,52,0
2023,60,0,0,195795
2023,60,0,0,195795
2023,62,30,48,141227
2023,61,40,52,136316
2023,33,18,52,399229
2023,65,0,0,0
2023,25,0,0,0
2023,34,40,52,0
2023,31,0,0,0
2023,57,40,52,0
2023,67,20,52,0
2023,75,0,0,0
2023,75,0,0,0
2023,44,45,52,0
2023,20,32,26,0
2023,37,35,52,0
2023,36,40,52,0
2023,39,40,52,0
2023,26,38,19,0
2023,43,40,52,0
2023,59,40,52,0
2023,41,40,52,0
2023,37,6,52,0
2023,31,48,52,0
2023,25,32,39,0
2023,45,40,52,0
2023,35,40,28,0
2023,32,40,52,0
2023,68,45,52,97045
2023,59,60,52,88710
2023,21,40,52,177026
2023,41,40,52,156791
2023,43,40,52,115935
2023,65,0,0,104993
2023,80,0,0,89818
2023,70,0,0,91893
2023,68,0,0,95194
2023,75,0,0,87831
2023,78,0,0,90199
2023,65,0,0,104678
2023,80,0,0,87831
2023,49,40,52,131806
2023,45,35,52,117851
2023,85,0,0,103158
2023,85,0,0,89818
2023,47,40,52,119275
2023,57,40,52,88710
2023,63,0,0,100986
2023,64,40,52,108201
2023,35,40,52,108621
2023,85,0,0,103158
2023,69,0,0,103784
2023,73,40,52,92402
2023,49,45,52,97184
2023,67,0,0,105575
2023,35,40,52,146236
2023,29,0,0,137303
2023,70,28,40,92402
2023,70,16,16,91565
2023,46,35,52,107007
2023,53,40,52,134190
2023,85,40,52,89818
2023,35,40,52,108621
2023,75,0,0,0
2023,74,0,0,0
2023,26,0,0,0
2023,25,40,8,0
2023,43,36,52,0
2023,41,43,52,0
2023,41,14,26,0
2023,42,40,52,0
2023,36,40,52,0
2023,35,40,52,0
2023,35,0,0,0
2023,63,0,0,0
2023,40,40,52,99725
2023,31,40,52,216019
2023,80,0,0,90699
2023,75,0,0,88319
2023,85,0,0,89818
2023,72,0,0,97724
2023,54,3,36,133450
2023,67,40,52,89925
2023,42,40,52,116578
2023,80,0,0,124795
2023,76,0,0,112865
2023,73,0,0,94206
2023,74,0,0,120264
2023,69,40,8,104993
2023,32,40,52,130576
2023,40,35,52,119831
2023,42,40,52,117313
2023,69,35,9,97045
2023,72,0,0,81242
2023,44,0,0,0
2023,36,0,0,0
2023,51,25,52,0
2023,48,30,45,0
2023,49,42,52,0
2023,59,60,52,156151
2023,58,0,0,134273
2023,22,50,52,173926
2023,41,32,52,128680
2023,47,40,52,119148
2023,64,40,52,118694
2023,64,0,0,108201
2023,65,0,0,103784
2023,85,0,0,83144
2023,85,0,0,83144
2023,79,0,0,87831
2023,74,0,0,98266
2023,75,0,0,107644
2023,65,0,0,117854
2023,66,0,0,126727
2023,85,0,0,103158
2023,32,40,48,130968
2023,31,50,52,130576
2023,67,0,0,103784
2023,39,40,52,108621
2023,30,40,52,118503
2023,62,25,45,104954
2023,59,40,52,126136
2023,25,10,25,116515
2023,20,25,52,124943
2023,55,40,52,105821
2023,28,36,52,136545
2023,45,32,52,107007
2023,50,45,52,146316
2023,47,0,0,117201
2023,43,70,52,115935
2023,41,40,52,156791
2023,59,60,52,157017
2023,85,0,0,83144
2023,79,0,0,72692
2023,41,40,52,135649
2023,30,40,52,134014
2023,38,50,52,121514
2023,78,0,0,88319
2023,33,40,52,131300
2023,62,40,52,119071
2023,56,0,0,104496
2023,24,0,0,124254
2023,40,42,52,203339
2023,60,40,52,88221
2023,58,38,52,96960
2023,32,40,48,120768
2023,28,40,52,193049
2023,41,50,52,0
2023,41,40,52,0
2023,38,40,52,0
2023,32,40,15,0
2023,38,40,52,0
2023,33,55,52,0
2023,56,50,52,0
2023,43,0,0,0
2023,47,40,52,0
2023,31,50,52,0
2023,28,40,52,0
2023,32,60,10,0
2023,35,0,0,0
2023,74,0,0,91893
2023,80,0,0,103158
2023,61,0,0,104375
2023,26,40,52,115872
2023,69,60,15,117204
2023,63,0,0,100986
2023,85,0,0,90316
2023,77,0,0,90699
2023,76,0,0,88319
2023,85,0,0,90699
2023,70,0,0,80794
2023,73,0,0,92402
2023,71,0,0,91565
2023,80,0,0,73095
2023,77,0,0,83606
2023,62,40,52,108118
2023,66,0,0,122516
2023,54,40,52,112187
2023,35,45,52,121216
2023,57,40,52,126136
2023,54,0,0,108374
2023,27,40,40,246491
2023,24,40,22,124943
2023,38,50,52,0
2023,44,48,52,0
2023,61,40,26,106088
2023,50,40,52,120248
2023,50,0,0,146316
2023,23,44,48,176050
2023,65,45,52,104993
2023,61,40,52,95219
2023,68,0,0,117204
2023,67,0,0,103784
